JOB_ID,TITLE,DESCRIPTION,DISPLAY DATE,LINK,CITY,COUNTRY
1118544,Manager Power Management,Supervision and Monitoring of Power and HVAC Systems of all locations Bank-Wide.Ensure un-interrupted power supply by taking preventive and ..,2020-12-31,https://www.rozee.pk/bankislami-pakistan-limited-manager-power-management-karachi-jobs-1118544.php,Karachi,Pakistan
1118528,Project Manager - QA,,2020-12-31,https://www.rozee.pk/real-versatile-technologies-project-manager-qa-karachi-jobs-1118528.php,Karachi,Pakistan
1118523,Back End Developer,We are looking for a Back-End Engineer responsible for managing the interchange of data between the server and the users. Your primary focus..,2020-12-31,https://www.rozee.pk/carta-healthcare-back-end-developer-islamabad-karachi-lahore-multan-jobs-1118523.php,Multiple Cities,Pakistan
1118526,ECommerce \/ Shopify Listing Specialist,,2020-12-31,https://www.rozee.pk/tops-and-bottoms-ecommerce-shopify-listing-specialist-karachi-jobs-1118526.php,Karachi,Pakistan
1118453,Python Developer (Paid Internship),We are offering two paid internships for python developers which will lead to full-time employment after two-three months. In which he will ..,2020-12-31,https://www.rozee.pk/codewaylabs-python-developer-paid-internship-islamabad-karachi-lahore-multan-rawalpindi-sialkot-sahiwal-jobs-1118453.php,Multiple Cities,Pakistan
1118488,Digital Marketer,,2020-12-31,https://www.rozee.pk/apace-solutions-digital-marketer-karachi-jobs-1118488.php,Karachi,Pakistan
1118452,Assistant Application Supervisor - DAE Civil,DAE Civil required to work for sales department.  n1-2 years experience in Site Supervision.  n,2020-12-31,https://www.rozee.pk/berger-paints-pakistan-limited-assistant-application-supervisor-dae-civil-karachi-lahore-jobs-1118452.php,Multiple Cities,Pakistan
1118451,Chat Support Agent,Integrity Technologies (Pvt) Ltd is looking for Chat Support Agents to work on various client projects. The ideal candidate would have 1 to ..,2020-12-31,https://www.rozee.pk/integrity-technologies-pvt-ltd-chat-support-agent-karachi-jobs-1118451.php,Karachi,Pakistan
1118487,Search Engine Optimization Specialist,We are looking for a SEO Specialist to lead its SEO team & take charge of the SEO projects independently to deliver desired results. nJOB RE..,2020-12-31,https://www.rozee.pk/tops-and-bottoms-search-engine-optimization-specialist-karachi-jobs-1118487.php,Karachi,Pakistan
1118489,Digital Marketer,,2020-12-31,https://www.rozee.pk/tops-and-bottoms-digital-marketer-karachi-jobs-1118489.php,Karachi,Pakistan
1118508,3D Game Artist,Innovative Solutions is hiring for the position of 3D Game Artist. Fresh candidates can apply. nLocation,2020-12-31,https://www.rozee.pk/innovative-solutions-3d-game-artist-karachi-jobs-1118508.php,Karachi,Pakistan
1118522,Front End Developer (Remote),We are looking for a Frontend React Engineer who is motivated to combine the art of design with the art of programming. Responsibilities wil..,2020-12-31,https://www.rozee.pk/carta-healthcare-front-end-developer-remote-islamabad-faisalabad-karachi-lahore-multan-jobs-1118522.php,Multiple Cities,Pakistan
1113428,Amazon eBay Listing Specialist,,2020-12-30,https://www.rozee.pk/tops-and-bottoms-amazon-ebay-listing-specialist-karachi-jobs-1113428.php,Karachi,Pakistan
1118448,IT \/ Network Executive,BariTechSol is looking for a responsible candidate Information Technology & Network Officer an individual who is willing to give a boost sta..,2020-12-30,https://www.rozee.pk/baritechsol-it-network-executive-karachi-jobs-1118448.php,Karachi,Pakistan
